lat	lon	title	icon	iconSize	iconOffset	description	popupSize
47.4092	7.31674	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:100	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
53.8667	10.7	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:101	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
42.2262	0.991403	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:102	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
53.6267	10.3991	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:103	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
54.8719	8.9125	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:104	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.9604	8.55148	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:105	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
54.1311	9.74611	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:106	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.4333	12.7333	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:107	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.6838	11.4263	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:108	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.1651	7.86777	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:109	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.7569	11.3681	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:111	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.9167	10.7833	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:112	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.6192	9.84222	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:113	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.807	11.5805	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:114	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.0061	7.10564	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:116	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.3408	8.80028	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:118	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
48.6333	12.5	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:119	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
53.6	9.48333	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:120	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.8667	11.4	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:121	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
41.2068	1.59754	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:122	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.6667	9.6	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:123	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.4839	11.9434	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:124	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.8192	13.2147	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:125	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
48.6351	8.08456	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:126	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.9476	11.5733	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:127	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.9879	6.31506	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:128	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.55	11.2333	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:129	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.0708	13.1536	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:130	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.2167	14.15	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:131	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.9333	14.6167	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:132	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.3526	9.40633	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:133	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.3511	13.3022	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:325338	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.2042	9.4948	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:500085	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.9936	8.81667	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:67	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.8732	10.6872	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:68	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.0591	4.5787	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:69	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
54.7803	11.4983	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:70	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.1167	13.9167	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:71	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.1397	8.05889	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:72	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.7127	9.33715	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:73	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
53.2161	8.78292	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:74	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
48.3083	8.91361	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:75	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.8435	7.92828	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:77	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.6626	8.20591	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:78	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.348	8.38154	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:79	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.8333	10.7833	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:80	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.95	10.5667	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:81	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.6783	6.62137	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:82	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.6333	7.4	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:83	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.5483	8.66611	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:84	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
50.995	13.9479	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:85	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.2584	15.2471	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:86	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
53.8	7.9	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:87	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.05	13.3	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:88	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.7986	12.2461	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:89	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.0035	7.64583	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:90	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
