#METADATA SECTION
#Type = Observation
#Mobile = false
#Owner = NKUA
#Phenomenon = [humidity,precipitation,winddirection,temperature,pressure,windspeed]
#Phenomenon_Unit = [%,mm/m²,°,°C,hPa,m/s]
#Sensor_no = 4

#unique_id longitude latitude status
#WEATHER_STATION_71 13.9167 51.1167 true
#WEATHER_STATION_85 13.9479 50.995 true
#WEATHER_STATION_131 14.15 51.2167 true
#WEATHER_STATION_132 14.6167 50.9333 true

#unique_id timestamp longitude latitude humidity precipitation winddirection temperature pressure windspeed
WEATHER_STATION_85 3400 13.9479 50.995 96 9.8 135.0 16.1 1015.6 0.0
WEATHER_STATION_71 4000 13.9167 51.1167 100 2.2 225.0 14.7 1013.6 1.6
WEATHER_STATION_131 4600 14.15 51.2167 100 18.3 315.0 15.2 1012.4 6.1
WEATHER_STATION_132 5200 14.6167 50.9333 89 22.2 245.0 13.9 1015.4 4.2
WEATHER_STATION_85 13400 13.9479 50.995 97 10.0 135.0 15.9 1015.6 0.0
WEATHER_STATION_71 14000 13.9167 51.1167 100 2.4 225.0 14.7 1013.4 3.2
WEATHER_STATION_131 14600 14.15 51.2167 100 18.9 270.0 15.2 1012.2 2.5
WEATHER_STATION_132 15200 14.6167 50.9333 89 22.2 292.5 13.8 1016.1 6.0
WEATHER_STATION_85 23400 13.9479 50.995 97 10.2 135.0 15.9 1015.8 0.0
WEATHER_STATION_71 24000 13.9167 51.1167 100 2.8 225.0 14.6 1013.2 1.6
WEATHER_STATION_131 24600 14.15 51.2167 100 19.2 225.0 15.1 1012.6 2.5
WEATHER_STATION_132 25200 14.6167 50.9333 89 23.1 315.0 13.9 1016.1 9.8
WEATHER_STATION_85 33400 13.9479 50.995 97 10.4 135.0 15.9 1016.3 1.6
WEATHER_STATION_71 34000 13.9167 51.1167 100 2.8 225.0 14.4 1013.2 3.2
WEATHER_STATION_131 34600 14.15 51.2167 100 19.5 270.0 15.1 1012.7 6.1
WEATHER_STATION_132 35200 14.6167 50.9333 89 23.9 292.5 13.8 1016.1 6.2
WEATHER_STATION_85 43400 13.9479 50.995 96 10.6 292.5 15.8 1016.1 0.9
WEATHER_STATION_71 44000 13.9167 51.1167 100 3.0 225.0 14.3 1013.4 1.6
WEATHER_STATION_131 44600 14.15 51.2167 100 19.8 270.0 15.2 1012.6 5.0
WEATHER_STATION_132 45200 14.6167 50.9333 89 23.9 315.0 13.9 1015.8 6.8
WEATHER_STATION_85 53400 13.9479 50.995 96 10.8 292.5 15.7 1016.2 0.0
WEATHER_STATION_71 54000 13.9167 51.1167 100 3.2 225.0 14.3 1013.4 1.6
WEATHER_STATION_131 54600 14.15 51.2167 100 20.1 270.0 15.1 1012.5 3.6
WEATHER_STATION_132 55200 14.6167 50.9333 89 25.5 292.5 13.8 1016.1 6.0
WEATHER_STATION_85 63400 13.9479 50.995 96 11.0 292.5 15.6 1015.7 0.0
WEATHER_STATION_71 64000 13.9167 51.1167 100 3.4 225.0 14.3 1013.2 1.6
WEATHER_STATION_131 64600 14.15 51.2167 100 20.4 180.0 15.0 1012.6 1.1
WEATHER_STATION_132 65200 14.6167 50.9333 90 25.5 292.5 13.9 1016.2 4.6
WEATHER_STATION_85 73400 13.9479 50.995 96 11.4 292.5 15.4 1015.6 0.0
WEATHER_STATION_71 74000 13.9167 51.1167 100 3.6 225.0 14.4 1013.2 0.0
WEATHER_STATION_131 74600 14.15 51.2167 100 21.0 270.0 15.1 1012.5 5.0
WEATHER_STATION_132 75200 14.6167 50.9333 89 27.2 292.5 13.9 1016.5 4.6
WEATHER_STATION_85 83400 13.9479 50.995 97 11.4 292.5 15.4 1016.0 0.0
WEATHER_STATION_71 84000 13.9167 51.1167 100 3.8 225.0 14.4 1013.2 1.6
WEATHER_STATION_131 84600 14.15 51.2167 100 21.6 270.0 15.2 1012.6 8.6
WEATHER_STATION_132 85200 14.6167 50.9333 89 28.0 292.5 13.7 1016.2 4.6
WEATHER_STATION_85 93400 13.9479 50.995 97 11.6 292.5 15.4 1016.0 0.0
WEATHER_STATION_71 94000 13.9167 51.1167 100 4.4 225.0 14.6 1013.2 0.0
WEATHER_STATION_131 94600 14.15 51.2167 100 21.9 270.0 15.3 1012.7 11.2
WEATHER_STATION_132 95200 14.6167 50.9333 90 29.7 292.5 13.7 1016.3 6.6
WEATHER_STATION_85 103400 13.9479 50.995 97 12.0 292.5 15.3 1015.8 0.0
