#METADATA SECTION
#Type = Measurement
#Mobile = false
#Owner = NKUA
#Phenomenon = humidity
#Phenomenon_Unit = %
#Sensor_no = 8

#unique_id longitude latitude status
#Vienna-Hum-0 16.16427 48.26555 true
#Vienna-Hum-1 16.23362 48.23537 true
#Vienna-Hum-2 16.26864 48.27834 true
#Vienna-Hum-3 16.30847 48.27834 true
#Vienna-Hum-4 16.18350 48.27926 true
#Vienna-Hum-5 16.15191 48.18513 true
#Vienna-Hum-6 16.22195 48.17322 true
#Vienna-Hum-7 16.18899 48.20023 true

#unique_id timestamp longitude latitude humidity
Vienna-Hum-0 2100 16.16427 48.26555 75.47
Vienna-Hum-1 2350 16.23362 48.23537 73.99
Vienna-Hum-2 2600 16.26864 48.27834 73.97
Vienna-Hum-3 2850 16.30847 48.27834 74.56
Vienna-Hum-4 3100 16.18350 48.27926 74.51
Vienna-Hum-0 22100 16.16427 48.26555 75.2
Vienna-Hum-2 22600 16.26864 48.27834 75.95
Vienna-Hum-3 22850 16.30847 48.27834 74.33
Vienna-Hum-4 23100 16.18350 48.27926 74.47
Vienna-Hum-5 24350 16.15191 48.18513 80.89
Vienna-Hum-6 24600 16.22195 48.17322 79.53
Vienna-Hum-7 24850 16.18899 48.20023 78.56
Vienna-Hum-0 42100 16.16427 48.26555 75.64
Vienna-Hum-1 42350 16.23362 48.23537 75.4
Vienna-Hum-2 42600 16.26864 48.27834 74.72
Vienna-Hum-3 42850 16.30847 48.27834 75.24
Vienna-Hum-4 43100 16.18350 48.27926 74.72
Vienna-Hum-5 44350 16.15191 48.18513 79.54
Vienna-Hum-6 44600 16.22195 48.17322 79.65
Vienna-Hum-7 44850 16.18899 48.20023 80.82
Vienna-Hum-0 62100 16.16427 48.26555 64.66
Vienna-Hum-1 62350 16.23362 48.23537 64.4
Vienna-Hum-2 62600 16.26864 48.27834 64.6
Vienna-Hum-3 62850 16.30847 48.27834 65.49
Vienna-Hum-4 63100 16.18350 48.27926 66.24
Vienna-Hum-6 64600 16.22195 48.17322 80.79
