#METADATA SECTION
#Type = Measurement
#Mobile = false
#Owner = NKUA
#Phenomenon = temperature
#Phenomenon_Unit = celcius
#Sensor_no = 7

#unique_id longitude latitude status
#Vienna-Temp-0 16.18487 48.26006 true
#Vienna-Temp-1 16.24667 48.28520 true
#Vienna-Temp-2 16.15260 48.26097 true
#Vienna-Temp-3 16.25079 48.29799 true
#Vienna-Temp-4 16.16015 48.20755 true
#Vienna-Temp-5 16.23637 48.17505 true
#Vienna-Temp-6 16.15054 48.20298 true

#unique_id timestamp longitude latitude temperature
Vienna-Temp-0 3350 16.18487 48.26006 3.98
Vienna-Temp-1 3600 16.24667 48.28520 5.09
Vienna-Temp-3 4100 16.25079 48.29799 5.46
Vienna-Temp-0 23350 16.18487 48.26006 6.81
Vienna-Temp-2 23850 16.15260 48.26097 6.38
Vienna-Temp-3 24100 16.25079 48.29799 5.13
Vienna-Temp-4 25100 16.16015 48.20755 3.22
Vienna-Temp-5 25350 16.23637 48.17505 3.64
Vienna-Temp-6 25600 16.15054 48.20298 2.22
Vienna-Temp-0 43350 16.18487 48.26006 5.61
Vienna-Temp-2 43850 16.15260 48.26097 5.85
Vienna-Temp-3 44100 16.25079 48.29799 5.66
Vienna-Temp-4 45100 16.16015 48.20755 4.32
Vienna-Temp-5 45350 16.23637 48.17505 2.53
Vienna-Temp-6 45600 16.15054 48.20298 2.14
Vienna-Temp-0 63350 16.18487 48.26006 6.31
Vienna-Temp-1 63600 16.24667 48.28520 4.14
Vienna-Temp-2 63850 16.15260 48.26097 4.44
Vienna-Temp-3 64100 16.25079 48.29799 6.6
Vienna-Temp-4 65100 16.16015 48.20755 3.66
Vienna-Temp-5 65350 16.23637 48.17505 3.03
Vienna-Temp-6 65600 16.15054 48.20298 4.82
Vienna-Temp-0 83350 16.18487 48.26006 32.52
Vienna-Temp-2 83850 16.15260 48.26097 30.73
Vienna-Temp-3 84100 16.25079 48.29799 28.97
Vienna-Temp-4 85100 16.16015 48.20755 4.45
Vienna-Temp-5 85350 16.23637 48.17505 3.97
Vienna-Temp-6 85600 16.15054 48.20298 3.51
Vienna-Temp-0 103350 16.18487 48.26006 30.53
Vienna-Temp-1 103600 16.24667 48.28520 31.0
Vienna-Temp-2 103850 16.15260 48.26097 28.86
Vienna-Temp-4 105100 16.16015 48.20755 3.52
Vienna-Temp-5 105350 16.23637 48.17505 4.87
Vienna-Temp-6 105600 16.15054 48.20298 3.45
Vienna-Temp-0 123350 16.18487 48.26006 29.1
Vienna-Temp-1 123600 16.24667 48.28520 29.0
Vienna-Temp-2 123850 16.15260 48.26097 29.52
Vienna-Temp-3 124100 16.25079 48.29799 29.09
Vienna-Temp-4 125100 16.16015 48.20755 29.17
Vienna-Temp-5 125350 16.23637 48.17505 28.62
Vienna-Temp-6 125600 16.15054 48.20298 24.91
Vienna-Temp-0 143350 16.18487 48.26006 44.43
Vienna-Temp-1 143600 16.24667 48.28520 45.23
Vienna-Temp-2 143850 16.15260 48.26097 44.77
Vienna-Temp-3 144100 16.25079 48.29799 46.17
Vienna-Temp-4 145100 16.16015 48.20755 28.48
Vienna-Temp-5 145350 16.23637 48.17505 26.95
Vienna-Temp-6 145600 16.15054 48.20298 28.07
Vienna-Temp-0 163350 16.18487 48.26006 44.98
Vienna-Temp-1 163600 16.24667 48.28520 44.85
Vienna-Temp-2 163850 16.15260 48.26097 43.42
Vienna-Temp-3 164100 16.25079 48.29799 43.14
Vienna-Temp-4 165100 16.16015 48.20755 27.93
Vienna-Temp-5 165350 16.23637 48.17505 28.65
Vienna-Temp-6 165600 16.15054 48.20298 25.94
Vienna-Temp-1 183600 16.24667 48.28520 44.89
Vienna-Temp-2 183850 16.15260 48.26097 43.55
Vienna-Temp-3 184100 16.25079 48.29799 45.39
Vienna-Temp-4 185100 16.16015 48.20755 27.47
Vienna-Temp-5 185350 16.23637 48.17505 27.56
Vienna-Temp-6 185600 16.15054 48.20298 29.39
Vienna-Temp-0 203350 16.18487 48.26006 44.26
Vienna-Temp-2 203850 16.15260 48.26097 46.03
Vienna-Temp-3 204100 16.25079 48.29799 44.89
Vienna-Temp-4 205100 16.16015 48.20755 39.21
Vienna-Temp-5 205350 16.23637 48.17505 38.91
Vienna-Temp-6 205600 16.15054 48.20298 40.0
Vienna-Temp-0 223350 16.18487 48.26006 61.12
Vienna-Temp-1 223600 16.24667 48.28520 58.04
Vienna-Temp-3 224100 16.25079 48.29799 60.63
Vienna-Temp-4 225100 16.16015 48.20755 39.27
Vienna-Temp-5 225350 16.23637 48.17505 40.91
Vienna-Temp-6 225600 16.15054 48.20298 39.49
Vienna-Temp-0 243350 16.18487 48.26006 59.05
Vienna-Temp-1 243600 16.24667 48.28520 59.68
Vienna-Temp-2 243850 16.15260 48.26097 60.34
Vienna-Temp-4 245100 16.16015 48.20755 42.01
Vienna-Temp-5 245350 16.23637 48.17505 40.51
Vienna-Temp-0 263350 16.18487 48.26006 58.43
Vienna-Temp-2 263850 16.15260 48.26097 58.57
Vienna-Temp-3 264100 16.25079 48.29799 61.02
Vienna-Temp-4 265100 16.16015 48.20755 61.93
Vienna-Temp-5 265350 16.23637 48.17505 63.28
Vienna-Temp-6 265600 16.15054 48.20298 62.97
Vienna-Temp-0 283350 16.18487 48.26006 60.71
Vienna-Temp-1 283600 16.24667 48.28520 59.14
Vienna-Temp-2 283850 16.15260 48.26097 59.63
Vienna-Temp-3 284100 16.25079 48.29799 60.31
Vienna-Temp-4 285100 16.16015 48.20755 62.64
Vienna-Temp-5 285350 16.23637 48.17505 64.03
Vienna-Temp-6 285600 16.15054 48.20298 62.79
Vienna-Temp-4 305100 16.16015 48.20755 63.66
Vienna-Temp-5 305350 16.23637 48.17505 62.13
Vienna-Temp-6 305600 16.15054 48.20298 60.75
Vienna-Temp-4 325100 16.16015 48.20755 64.22
Vienna-Temp-5 325350 16.23637 48.17505 63.91
Vienna-Temp-6 325600 16.15054 48.20298 63.4
