#METADATA SECTION
#Type = Measurement
#Mobile = false 
#Owner = NKUA
#Phenomenon = personCount
#Phenomenon_Unit = person
#Sensor_no = 3

#unique_id longitude latitude status
#person-count-1 16.38116 48.21483 true
#person-count-2 16.34703 48.22043 true
#person-count-3 16.26222 48.19419 true

#unique_id timestamp longitude latitude personCount
person-count-1 850 16.38116 48.21483 415
person-count-2 1100 16.34703 48.22043 390
person-count-3 1350 16.26222 48.19419 394
person-count-1 10850 16.38116 48.21483 476
person-count-2 11100 16.34703 48.22043 360
person-count-3 11350 16.26222 48.19419 353
person-count-1 20850 16.38116 48.21483 417
person-count-2 21100 16.34703 48.22043 423
person-count-3 21350 16.26222 48.19419 384
person-count-1 30850 16.38116 48.21483 429
person-count-2 31100 16.34703 48.22043 377
person-count-3 31350 16.26222 48.19419 425
person-count-1 40850 16.38116 48.21483 463
person-count-2 41100 16.34703 48.22043 372
person-count-3 41350 16.26222 48.19419 383
person-count-1 50850 16.38116 48.21483 361
person-count-2 51100 16.34703 48.22043 362
person-count-3 51350 16.26222 48.19419 432
person-count-1 60850 16.38116 48.21483 372
person-count-2 61100 16.34703 48.22043 448
person-count-3 61350 16.26222 48.19419 375
person-count-1 70850 16.38116 48.21483 445
person-count-2 71100 16.34703 48.22043 503
person-count-3 71350 16.26222 48.19419 364
person-count-1 80850 16.38116 48.21483 459
person-count-2 81100 16.34703 48.22043 547
person-count-3 81350 16.26222 48.19419 405
person-count-1 90850 16.38116 48.21483 572
person-count-2 91100 16.34703 48.22043 657
person-count-3 91350 16.26222 48.19419 366
person-count-1 100850 16.38116 48.21483 598
person-count-2 101100 16.34703 48.22043 667
person-count-3 101350 16.26222 48.19419 327
person-count-1 110850 16.38116 48.21483 553
person-count-2 111100 16.34703 48.22043 751
person-count-3 111350 16.26222 48.19419 412
person-count-1 120850 16.38116 48.21483 537
person-count-2 121100 16.34703 48.22043 837
person-count-3 121350 16.26222 48.19419 452
person-count-1 130850 16.38116 48.21483 462
person-count-2 131100 16.34703 48.22043 861
person-count-3 131350 16.26222 48.19419 528
person-count-1 140850 16.38116 48.21483 495
person-count-2 141100 16.34703 48.22043 1016
person-count-3 141350 16.26222 48.19419 565
person-count-1 150850 16.38116 48.21483 472
person-count-2 151100 16.34703 48.22043 1077
person-count-3 151350 16.26222 48.19419 470
person-count-1 160850 16.38116 48.21483 459
person-count-2 161100 16.34703 48.22043 1148
person-count-3 161350 16.26222 48.19419 469
person-count-1 170850 16.38116 48.21483 482
person-count-2 171100 16.34703 48.22043 1139
person-count-3 171350 16.26222 48.19419 428
person-count-1 180850 16.38116 48.21483 515
person-count-2 181100 16.34703 48.22043 1172
person-count-3 181350 16.26222 48.19419 431
person-count-1 190850 16.38116 48.21483 580
person-count-2 191100 16.34703 48.22043 1193
person-count-3 191350 16.26222 48.19419 467
person-count-1 200850 16.38116 48.21483 616
person-count-2 201100 16.34703 48.22043 1165
person-count-3 201350 16.26222 48.19419 439
person-count-1 210850 16.38116 48.21483 645
person-count-2 211100 16.34703 48.22043 1153
person-count-3 211350 16.26222 48.19419 498
person-count-1 220850 16.38116 48.21483 542
person-count-2 221100 16.34703 48.22043 1115
person-count-3 221350 16.26222 48.19419 569
person-count-1 230850 16.38116 48.21483 573
person-count-2 231100 16.34703 48.22043 1004
person-count-3 231350 16.26222 48.19419 532
person-count-1 240850 16.38116 48.21483 574
person-count-2 241100 16.34703 48.22043 1014
person-count-3 241350 16.26222 48.19419 569
person-count-1 250850 16.38116 48.21483 557
person-count-2 251100 16.34703 48.22043 958
person-count-3 251350 16.26222 48.19419 571
person-count-1 260850 16.38116 48.21483 556
person-count-2 261100 16.34703 48.22043 1018
person-count-3 261350 16.26222 48.19419 555
person-count-1 270850 16.38116 48.21483 523
person-count-2 271100 16.34703 48.22043 1053
person-count-3 271350 16.26222 48.19419 596
person-count-1 280850 16.38116 48.21483 521
person-count-2 281100 16.34703 48.22043 1089
person-count-3 281350 16.26222 48.19419 544
person-count-1 290850 16.38116 48.21483 515
person-count-2 291100 16.34703 48.22043 1146
person-count-3 291350 16.26222 48.19419 507
person-count-1 300850 16.38116 48.21483 547
person-count-2 301100 16.34703 48.22043 1073
person-count-3 301350 16.26222 48.19419 521
person-count-1 310850 16.38116 48.21483 524
person-count-2 311100 16.34703 48.22043 1082
person-count-3 311350 16.26222 48.19419 488
person-count-1 320850 16.38116 48.21483 522
person-count-2 321100 16.34703 48.22043 1029
person-count-3 321350 16.26222 48.19419 545
person-count-1 330850 16.38116 48.21483 585
person-count-2 331100 16.34703 48.22043 1073
person-count-3 331350 16.26222 48.19419 558
person-count-1 340850 16.38116 48.21483 642
person-count-2 341100 16.34703 48.22043 1115
person-count-3 341350 16.26222 48.19419 490
person-count-1 350850 16.38116 48.21483 619
person-count-2 351100 16.34703 48.22043 1065
person-count-3 351350 16.26222 48.19419 475
person-count-1 360850 16.38116 48.21483 574
person-count-2 361100 16.34703 48.22043 1138
person-count-3 361350 16.26222 48.19419 487
person-count-1 370850 16.38116 48.21483 556
person-count-2 371100 16.34703 48.22043 1098
person-count-3 371350 16.26222 48.19419 511
person-count-1 380850 16.38116 48.21483 499
person-count-2 381100 16.34703 48.22043 1170
person-count-3 381350 16.26222 48.19419 513
person-count-1 390850 16.38116 48.21483 497
person-count-2 391100 16.34703 48.22043 1193
person-count-3 391350 16.26222 48.19419 542
person-count-1 400850 16.38116 48.21483 596
person-count-2 401100 16.34703 48.22043 1206
person-count-3 401350 16.26222 48.19419 469
person-count-1 410850 16.38116 48.21483 567
person-count-2 411100 16.34703 48.22043 1328
person-count-3 411350 16.26222 48.19419 437
person-count-1 420850 16.38116 48.21483 581
person-count-2 421100 16.34703 48.22043 1250
person-count-3 421350 16.26222 48.19419 467
person-count-1 430850 16.38116 48.21483 626
person-count-2 431100 16.34703 48.22043 1334
person-count-3 431350 16.26222 48.19419 459
person-count-1 440850 16.38116 48.21483 551
person-count-2 441100 16.34703 48.22043 1335
person-count-3 441350 16.26222 48.19419 485
person-count-1 450850 16.38116 48.21483 501
person-count-2 451100 16.34703 48.22043 1297
person-count-3 451350 16.26222 48.19419 453
person-count-1 460850 16.38116 48.21483 576
person-count-2 461100 16.34703 48.22043 1272
person-count-3 461350 16.26222 48.19419 516
person-count-1 470850 16.38116 48.21483 537
person-count-2 471100 16.34703 48.22043 1296
person-count-3 471350 16.26222 48.19419 529
