#METADATA SECTION
#Type = Observation
#Mobile = 0
#Owner = FLEXIT
#Phenomenon = [fire_alarm_status,CO2_measurement,estimated_building_damage,people_counter]
#Phenomenon_Unit = [boolean,ppm,%,integer]
#Sensor_no = 2

#unique_id longitude latitude status
#Evaggelismos_Hospital-001 23.748096 37.976905 true
#Flexit_Office-001 13.023300 47.793630 true

#unique_id timestamp longitude latitude fire_alarm_status CO2_measurement estimated_building_damage people_counter
Evaggelismos_Hospital-001 10000 23.748096 37.976905 0 0.0 0.0 415
Flexit_Office-001 130000 13.023300 47.793630 0 0.0 0.0 1016
Evaggelismos_Hospital-001 250000 23.748096 37.976905 0 0.0 0.0 390
Flexit_Office-001 370000 13.023300 47.793630 0 0.0 0.0 1077
Evaggelismos_Hospital-001 490000 23.748096 37.976905 0 0.0 0.0 394
Flexit_Office-001 610000 13.023300 47.793630 0 0.0 0.0 1148
Evaggelismos_Hospital-001 730000 23.748096 37.976905 0 0.0 0.0 476
Flexit_Office-001 850000 13.023300 47.793630 0 0.0 0.0 1139
Evaggelismos_Hospital-001 970000 23.748096 37.976905 0 0.0 0.0 360
Flexit_Office-001 1090000 13.023300 47.793630 0 0.0 0.0 1172
Evaggelismos_Hospital-001 1210000 23.748096 37.976905 0 0.0 0.0 353
Flexit_Office-001 1330000 13.023300 47.793630 0 0.0 0.0 1193
Evaggelismos_Hospital-001 1450000 23.748096 37.976905 0 0.0 0.0 417
Flexit_Office-001 1570000 13.023300 47.793630 0 0.0 0.0 1165
Evaggelismos_Hospital-001 1690000 23.748096 37.976905 0 0.0 0.0 423
Flexit_Office-001 1810000 13.023300 47.793630 0 0.0 0.0 1153
Evaggelismos_Hospital-001 1930000 23.748096 37.976905 0 0.0 0.0 384
Flexit_Office-001 2050000 13.023300 47.793630 0 0.0 0.0 1115
Evaggelismos_Hospital-001 2170000 23.748096 37.976905 0 0.0 0.0 429
Flexit_Office-001 2290000 13.023300 47.793630 0 0.0 0.0 1004
Evaggelismos_Hospital-001 2410000 23.748096 37.976905 0 0.0 0.0 377
Flexit_Office-001 2530000 13.023300 47.793630 0 0.0 0.0 1014
Evaggelismos_Hospital-001 2650000 23.748096 37.976905 0 0.0 0.0 425
Flexit_Office-001 2770000 13.023300 47.793630 0 0.0 0.0 958
Evaggelismos_Hospital-001 2890000 23.748096 37.976905 0 0.0 0.0 463
