#METADATA SECTION
#Type = Measurement
#Mobile = false
#Owner = NKUA
#Phenomenon = temperature
#Phenomenon_Unit = celcius
#Sensor_no = 4

#unique_id longitude latitude status
#Temp-Sensor-10 44.89146 -17.28142 true
#Temp-Sensor-11 46.40757 -19.10781 true
#Temp-Sensor-12 45.69346 -23.19491 true
#Temp-Sensor-13 49.86826 -14.51340 true

#unique_id timestamp longitude latitude temperature
Temp-Sensor-10 3350 44.89146 -17.28142 3.98
Temp-Sensor-11 3600 46.40757 -19.10781 5.09
Temp-Sensor-13 4100 49.86826 -14.51340 5.46
Temp-Sensor-10 13350 44.89146 -17.28142 6.81
Temp-Sensor-12 13850 45.69346 -23.19491 6.38
Temp-Sensor-13 14100 49.86826 -14.51340 5.13
Temp-Sensor-10 23350 44.89146 -17.28142 5.61
Temp-Sensor-12 23850 45.69346 -23.19491 5.85
Temp-Sensor-13 24100 49.86826 -14.51340 5.66
Temp-Sensor-10 33350 44.89146 -17.28142 6.31
Temp-Sensor-11 33600 46.40757 -19.10781 4.14
Temp-Sensor-12 33850 45.69346 -23.19491 4.44
Temp-Sensor-13 34100 49.86826 -14.51340 6.6
Temp-Sensor-10 43350 44.89146 -17.28142 32.52
Temp-Sensor-12 43850 45.69346 -23.19491 30.73
Temp-Sensor-13 44100 49.86826 -14.51340 28.97
Temp-Sensor-10 53350 44.89146 -17.28142 30.53
Temp-Sensor-11 53600 46.40757 -19.10781 31.0
Temp-Sensor-12 53850 45.69346 -23.19491 28.86
Temp-Sensor-10 63350 44.89146 -17.28142 29.1
Temp-Sensor-11 63600 46.40757 -19.10781 29.0
Temp-Sensor-12 63850 45.69346 -23.19491 29.52
Temp-Sensor-13 64100 49.86826 -14.51340 29.09
Temp-Sensor-10 73350 44.89146 -17.28142 44.43
Temp-Sensor-11 73600 46.40757 -19.10781 45.23
Temp-Sensor-12 73850 45.69346 -23.19491 44.77
Temp-Sensor-13 74100 49.86826 -14.51340 46.17
Temp-Sensor-10 83350 44.89146 -17.28142 44.98
Temp-Sensor-11 83600 46.40757 -19.10781 44.85
Temp-Sensor-12 83850 45.69346 -23.19491 43.42
Temp-Sensor-13 84100 49.86826 -14.51340 43.14
Temp-Sensor-11 93600 46.40757 -19.10781 44.89
Temp-Sensor-12 93850 45.69346 -23.19491 43.55
Temp-Sensor-13 94100 49.86826 -14.51340 45.39
Temp-Sensor-10 103350 44.89146 -17.28142 44.26
Temp-Sensor-12 103850 45.69346 -23.19491 46.03
Temp-Sensor-13 104100 49.86826 -14.51340 44.89
Temp-Sensor-10 113350 44.89146 -17.28142 61.12
Temp-Sensor-11 113600 46.40757 -19.10781 58.04
Temp-Sensor-13 114100 49.86826 -14.51340 60.63
Temp-Sensor-10 123350 44.89146 -17.28142 59.05
Temp-Sensor-11 123600 46.40757 -19.10781 59.68
Temp-Sensor-12 123850 45.69346 -23.19491 60.34
Temp-Sensor-10 133350 44.89146 -17.28142 58.43
Temp-Sensor-12 133850 45.69346 -23.19491 58.57
Temp-Sensor-13 134100 49.86826 -14.51340 61.02
Temp-Sensor-10 143350 44.89146 -17.28142 60.71
Temp-Sensor-11 143600 46.40757 -19.10781 59.14
Temp-Sensor-12 143850 45.69346 -23.19491 59.63
Temp-Sensor-13 144100 49.86826 -14.51340 60.31
