#METADATA SECTION 
#Type = Measurement 
#Mobile = false 
#Owner = VIRTUAL 
#Phenomenon = waterlevel 
#Phenomenon_Unit = cm 
#Sensor_no = 7

#unique_id longitude latitude status 
#GAUGING_STATION_501010 13.07529 47.76587 true
#GAUGING_STATION_501040 13.07547 47.77746 true
#GAUGING_STATION_550100 13.08130 47.74204 true 
#GAUGING_STATION_550190 13.07650 47.76022 true 
#GAUGING_STATION_550302 13.08156 47.71652 true 
#GAUGING_STATION_550490 13.07572 47.77458 true
#GAUGING_STATION_550620 13.07375 47.78594 true

#unique_id timestamp longitude latitude waterlevel
GAUGING_STATION_501040 400 13.07547 47.77746 620.0
GAUGING_STATION_501010 650 13.07529 47.76587 330.0
GAUGING_STATION_550190 900 13.07650 47.76022 83.0
GAUGING_STATION_550100 1150 13.08130 47.74204 24.0
GAUGING_STATION_550302 1400 13.08156 47.71652 55.0
GAUGING_STATION_550620 2150 13.07375 47.78594 66.0
GAUGING_STATION_550490 2400 13.07572 47.77458 34.0
GAUGING_STATION_501040 10400 13.07547 47.77746 622.0
GAUGING_STATION_501010 10650 13.07529 47.76587 340.0
GAUGING_STATION_550190 10900 13.07650 47.76022 83.0
GAUGING_STATION_550100 11150 13.08130 47.74204 27.0
GAUGING_STATION_550302 11400 13.08156 47.71652 53.0
GAUGING_STATION_550620 12150 13.07375 47.78594 64.0
GAUGING_STATION_550490 12400 13.07572 47.77458 34.0
GAUGING_STATION_501040 20400 13.07547 47.77746 624.0
GAUGING_STATION_501010 20650 13.07529 47.76587 349.0
GAUGING_STATION_550190 20900 13.07650 47.76022 84.0
GAUGING_STATION_550100 21150 13.08130 47.74204 29.0
GAUGING_STATION_550302 21400 13.08156 47.71652 52.0
GAUGING_STATION_550620 22150 13.07375 47.78594 64.0
GAUGING_STATION_550490 22400 13.07572 47.77458 34.0
GAUGING_STATION_501040 30400 13.07547 47.77746 626.0
GAUGING_STATION_501010 30650 13.07529 47.76587 355.0
GAUGING_STATION_550190 30900 13.07650 47.76022 89.0
GAUGING_STATION_550100 31150 13.08130 47.74204 30.0
GAUGING_STATION_550302 31400 13.08156 47.71652 53.0
GAUGING_STATION_550620 32150 13.07375 47.78594 64.0
GAUGING_STATION_550490 32400 13.07572 47.77458 34.0
GAUGING_STATION_501040 40400 13.07547 47.77746 630.0
GAUGING_STATION_501010 40650 13.07529 47.76587 362.0
GAUGING_STATION_550190 40900 13.07650 47.76022 104.0
GAUGING_STATION_550100 41150 13.08130 47.74204 33.0
GAUGING_STATION_550302 41400 13.08156 47.71652 57.0
GAUGING_STATION_550620 42150 13.07375 47.78594 64.0
GAUGING_STATION_550490 42400 13.07572 47.77458 34.0
GAUGING_STATION_501040 50400 13.07547 47.77746 636.0
GAUGING_STATION_501010 50650 13.07529 47.76587 375.0
GAUGING_STATION_550190 50900 13.07650 47.76022 120.0
GAUGING_STATION_550100 51150 13.08130 47.74204 37.0
GAUGING_STATION_550302 51400 13.08156 47.71652 64.0
GAUGING_STATION_550620 52150 13.07375 47.78594 64.0
GAUGING_STATION_550490 52400 13.07572 47.77458 35.0
GAUGING_STATION_501040 60400 13.07547 47.77746 642.0
GAUGING_STATION_501010 60650 13.07529 47.76587 395.0
GAUGING_STATION_550190 60900 13.07650 47.76022 128.0
GAUGING_STATION_550100 61150 13.08130 47.74204 39.0
GAUGING_STATION_550302 61400 13.08156 47.71652 75.0
GAUGING_STATION_550620 62150 13.07375 47.78594 64.0
GAUGING_STATION_550490 62400 13.07572 47.77458 37.0
GAUGING_STATION_501040 70400 13.07547 47.77746 648.0
GAUGING_STATION_501010 70650 13.07529 47.76587 418.0
GAUGING_STATION_550190 70900 13.07650 47.76022 130.0
GAUGING_STATION_550100 71150 13.08130 47.74204 40.0
GAUGING_STATION_550302 71400 13.08156 47.71652 85.0
GAUGING_STATION_550620 72150 13.07375 47.78594 65.0
GAUGING_STATION_550490 72400 13.07572 47.77458 40.0
GAUGING_STATION_501040 80400 13.07547 47.77746 682.0
GAUGING_STATION_501010 80650 13.07529 47.76587 445.0
GAUGING_STATION_550190 80900 13.07650 47.76022 130.0
GAUGING_STATION_550100 81150 13.08130 47.74204 39.0
GAUGING_STATION_550302 81400 13.08156 47.71652 89.0
GAUGING_STATION_550620 82150 13.07375 47.78594 71.0
GAUGING_STATION_550490 82400 13.07572 47.77458 41.0
GAUGING_STATION_501040 90400 13.07547 47.77746 685.0
GAUGING_STATION_501010 90650 13.07529 47.76587 473.0
GAUGING_STATION_550190 90900 13.07650 47.76022 126.0
GAUGING_STATION_550100 91150 13.08130 47.74204 38.0
GAUGING_STATION_550302 91400 13.08156 47.71652 89.0
GAUGING_STATION_550620 92150 13.07375 47.78594 76.0
GAUGING_STATION_550490 92400 13.07572 47.77458 42.0
GAUGING_STATION_501040 100400 13.07547 47.77746 689.0
GAUGING_STATION_501010 100650 13.07529 47.76587 495.0
GAUGING_STATION_550190 100900 13.07650 47.76022 122.0
GAUGING_STATION_550100 101150 13.08130 47.74204 39.0
GAUGING_STATION_550302 101400 13.08156 47.71652 84.0
GAUGING_STATION_550620 102150 13.07375 47.78594 84.0
GAUGING_STATION_550490 102400 13.07572 47.77458 43.0
GAUGING_STATION_501040 110400 13.07547 47.77746 692.0
GAUGING_STATION_501010 110650 13.07529 47.76587 511.0
GAUGING_STATION_550190 110900 13.07650 47.76022 119.0
GAUGING_STATION_550100 111150 13.08130 47.74204 39.0
GAUGING_STATION_550302 111400 13.08156 47.71652 79.0
GAUGING_STATION_550620 112150 13.07375 47.78594 88.0
GAUGING_STATION_550490 112400 13.07572 47.77458 44.0
GAUGING_STATION_501040 120400 13.07547 47.77746 695.0
GAUGING_STATION_501010 120650 13.07529 47.76587 521.0
GAUGING_STATION_550190 120900 13.07650 47.76022 117.0
GAUGING_STATION_550100 121150 13.08130 47.74204 40.0
GAUGING_STATION_550302 121400 13.08156 47.71652 75.0
GAUGING_STATION_550620 122150 13.07375 47.78594 90.0
GAUGING_STATION_550490 122400 13.07572 47.77458 44.0
GAUGING_STATION_501040 130400 13.07547 47.77746 698.0
GAUGING_STATION_501010 130650 13.07529 47.76587 526.0
GAUGING_STATION_550190 130900 13.07650 47.76022 119.0
GAUGING_STATION_550100 131150 13.08130 47.74204 43.0
GAUGING_STATION_550302 131400 13.08156 47.71652 72.0
GAUGING_STATION_550620 132150 13.07375 47.78594 91.0
GAUGING_STATION_550490 132400 13.07572 47.77458 44.0
GAUGING_STATION_501040 140400 13.07547 47.77746 702.0
GAUGING_STATION_501010 140650 13.07529 47.76587 530.0
GAUGING_STATION_550190 140900 13.07650 47.76022 124.0
GAUGING_STATION_550100 141150 13.08130 47.74204 48.0
GAUGING_STATION_550302 141400 13.08156 47.71652 69.0
GAUGING_STATION_550620 142150 13.07375 47.78594 90.0
GAUGING_STATION_550490 142400 13.07572 47.77458 45.0
GAUGING_STATION_501040 150400 13.07547 47.77746 0.0
GAUGING_STATION_501010 150650 13.07529 47.76587 535.0
GAUGING_STATION_550190 150900 13.07650 47.76022 135.0
GAUGING_STATION_550100 151150 13.08130 47.74204 53.0
GAUGING_STATION_550302 151400 13.08156 47.71652 67.0
GAUGING_STATION_550620 152150 13.07375 47.78594 90.0
GAUGING_STATION_550490 152400 13.07572 47.77458 52.0
GAUGING_STATION_501040 160400 13.07547 47.77746 585.0
GAUGING_STATION_501010 160650 13.07529 47.76587 542.0
GAUGING_STATION_550190 160900 13.07650 47.76022 153.0
GAUGING_STATION_550100 161150 13.08130 47.74204 60.0
GAUGING_STATION_550302 161400 13.08156 47.71652 66.0
GAUGING_STATION_550620 162150 13.07375 47.78594 90.0
GAUGING_STATION_550490 162400 13.07572 47.77458 58.0
GAUGING_STATION_501040 170400 13.07547 47.77746 581.0
GAUGING_STATION_501010 170650 13.07529 47.76587 550.0
GAUGING_STATION_550190 170900 13.07650 47.76022 172.0
GAUGING_STATION_550100 171150 13.08130 47.74204 64.0
GAUGING_STATION_550302 171400 13.08156 47.71652 65.0
GAUGING_STATION_550620 172150 13.07375 47.78594 90.0
GAUGING_STATION_550490 172400 13.07572 47.77458 68.0
GAUGING_STATION_501040 180400 13.07547 47.77746 578.0
GAUGING_STATION_501010 180650 13.07529 47.76587 564.0
GAUGING_STATION_550190 180900 13.07650 47.76022 189.0
GAUGING_STATION_550100 181150 13.08130 47.74204 66.0
GAUGING_STATION_550302 181400 13.08156 47.71652 69.0
GAUGING_STATION_550620 182150 13.07375 47.78594 91.0
GAUGING_STATION_550490 182400 13.07572 47.77458 73.0
GAUGING_STATION_501040 190400 13.07547 47.77746 575.0
GAUGING_STATION_501010 190650 13.07529 47.76587 584.0
GAUGING_STATION_550190 190900 13.07650 47.76022 195.0
GAUGING_STATION_550100 191150 13.08130 47.74204 66.0
GAUGING_STATION_550302 191400 13.08156 47.71652 74.0
GAUGING_STATION_550620 192150 13.07375 47.78594 94.0
GAUGING_STATION_550490 192400 13.07572 47.77458 75.0
GAUGING_STATION_501040 200400 13.07547 47.77746 571.0
GAUGING_STATION_501010 200650 13.07529 47.76587 605.0
GAUGING_STATION_550190 200900 13.07650 47.76022 191.0
GAUGING_STATION_550100 201150 13.08130 47.74204 65.0
GAUGING_STATION_550302 201400 13.08156 47.71652 78.0
GAUGING_STATION_550620 202150 13.07375 47.78594 96.0
GAUGING_STATION_550490 202400 13.07572 47.77458 72.0
GAUGING_STATION_501040 210400 13.07547 47.77746 567.0
GAUGING_STATION_501010 210650 13.07529 47.76587 620.0
GAUGING_STATION_550190 210900 13.07650 47.76022 183.0
GAUGING_STATION_550100 211150 13.08130 47.74204 64.0
GAUGING_STATION_550302 211400 13.08156 47.71652 77.0
GAUGING_STATION_550620 212150 13.07375 47.78594 101.0
GAUGING_STATION_550490 212400 13.07572 47.77458 69.0
GAUGING_STATION_501040 220400 13.07547 47.77746 564.0
GAUGING_STATION_501010 220650 13.07529 47.76587 625.0
GAUGING_STATION_550190 220900 13.07650 47.76022 175.0
GAUGING_STATION_550100 221150 13.08130 47.74204 64.0
GAUGING_STATION_550302 221400 13.08156 47.71652 74.0
GAUGING_STATION_550620 222150 13.07375 47.78594 108.0
GAUGING_STATION_550490 222400 13.07572 47.77458 67.0
GAUGING_STATION_501040 230400 13.07547 47.77746 561.0
GAUGING_STATION_501010 230650 13.07529 47.76587 626.0
GAUGING_STATION_550190 230900 13.07650 47.76022 168.0
GAUGING_STATION_550100 231150 13.08130 47.74204 63.0
GAUGING_STATION_550302 231400 13.08156 47.71652 71.0
GAUGING_STATION_550620 232150 13.07375 47.78594 110.0
GAUGING_STATION_550490 232400 13.07572 47.77458 65.0
GAUGING_STATION_501040 240400 13.07547 47.77746 550.0
GAUGING_STATION_501010 240650 13.07529 47.76587 627.0
GAUGING_STATION_550190 240900 13.07650 47.76022 162.0
GAUGING_STATION_550100 241150 13.08130 47.74204 63.0
GAUGING_STATION_550302 241400 13.08156 47.71652 68.0
GAUGING_STATION_550620 242150 13.07375 47.78594 111.0
GAUGING_STATION_550490 242400 13.07572 47.77458 64.0
GAUGING_STATION_501040 250400 13.07547 47.77746 549.0
GAUGING_STATION_501010 250650 13.07529 47.76587 630.0
GAUGING_STATION_550190 250900 13.07650 47.76022 157.0
GAUGING_STATION_550100 251150 13.08130 47.74204 63.0
GAUGING_STATION_550302 251400 13.08156 47.71652 66.0
GAUGING_STATION_550620 252150 13.07375 47.78594 110.0
GAUGING_STATION_550490 252400 13.07572 47.77458 67.0
GAUGING_STATION_501040 260400 13.07547 47.77746 548.0
GAUGING_STATION_501010 260650 13.07529 47.76587 635.0
GAUGING_STATION_550190 260900 13.07650 47.76022 152.0
GAUGING_STATION_550100 261150 13.08130 47.74204 65.0
GAUGING_STATION_550302 261400 13.08156 47.71652 64.0
GAUGING_STATION_550620 262150 13.07375 47.78594 109.0
GAUGING_STATION_550490 262400 13.07572 47.77458 71.0
GAUGING_STATION_501040 270400 13.07547 47.77746 545.0
GAUGING_STATION_501010 270650 13.07529 47.76587 641.0
GAUGING_STATION_550190 270900 13.07650 47.76022 151.0
GAUGING_STATION_550100 271150 13.08130 47.74204 69.0
GAUGING_STATION_550302 271400 13.08156 47.71652 63.0
GAUGING_STATION_550620 272150 13.07375 47.78594 108.0
GAUGING_STATION_550490 272400 13.07572 47.77458 76.0
GAUGING_STATION_501040 280400 13.07547 47.77746 543.0
GAUGING_STATION_501010 280650 13.07529 47.76587 648.0
GAUGING_STATION_550190 280900 13.07650 47.76022 152.0
GAUGING_STATION_550100 281150 13.08130 47.74204 71.0
GAUGING_STATION_550302 281400 13.08156 47.71652 63.0
GAUGING_STATION_550620 282150 13.07375 47.78594 106.0
GAUGING_STATION_550490 282400 13.07572 47.77458 87.0
GAUGING_STATION_501040 290400 13.07547 47.77746 541.0
GAUGING_STATION_501010 290650 13.07529 47.76587 656.0
GAUGING_STATION_550190 290900 13.07650 47.76022 157.0
GAUGING_STATION_550100 291150 13.08130 47.74204 73.0
GAUGING_STATION_550302 291400 13.08156 47.71652 65.0
GAUGING_STATION_550620 292150 13.07375 47.78594 105.0
GAUGING_STATION_550490 292400 13.07572 47.77458 91.0
GAUGING_STATION_501040 300400 13.07547 47.77746 538.0
GAUGING_STATION_501010 300650 13.07529 47.76587 663.0
GAUGING_STATION_550190 300900 13.07650 47.76022 162.0
GAUGING_STATION_550100 301150 13.08130 47.74204 74.0
GAUGING_STATION_550302 301400 13.08156 47.71652 74.0
GAUGING_STATION_550620 302150 13.07375 47.78594 104.0
GAUGING_STATION_550490 302400 13.07572 47.77458 92.0
GAUGING_STATION_501040 310400 13.07547 47.77746 510.0
GAUGING_STATION_501010 310650 13.07529 47.76587 671.0
GAUGING_STATION_550190 310900 13.07650 47.76022 165.0
GAUGING_STATION_550100 311150 13.08130 47.74204 72.0
GAUGING_STATION_550302 311400 13.08156 47.71652 82.0
GAUGING_STATION_550620 312150 13.07375 47.78594 103.0
GAUGING_STATION_550490 312400 13.07572 47.77458 87.0
GAUGING_STATION_501040 320400 13.07547 47.77746 514.0
GAUGING_STATION_501010 320650 13.07529 47.76587 680.0
GAUGING_STATION_550190 320900 13.07650 47.76022 164.0
GAUGING_STATION_550100 321150 13.08130 47.74204 71.0
GAUGING_STATION_550302 321400 13.08156 47.71652 85.0
GAUGING_STATION_550620 322150 13.07375 47.78594 108.0
GAUGING_STATION_550490 322400 13.07572 47.77458 83.0
GAUGING_STATION_501040 330400 13.07547 47.77746 517.0
GAUGING_STATION_501010 330650 13.07529 47.76587 688.0
GAUGING_STATION_550190 330900 13.07650 47.76022 159.0
GAUGING_STATION_550100 331150 13.08130 47.74204 69.0
GAUGING_STATION_550302 331400 13.08156 47.71652 82.0
GAUGING_STATION_550620 332150 13.07375 47.78594 108.0
GAUGING_STATION_550490 332400 13.07572 47.77458 79.0
GAUGING_STATION_501040 340400 13.07547 47.77746 518.0
GAUGING_STATION_501010 340650 13.07529 47.76587 695.0
GAUGING_STATION_550190 340900 13.07650 47.76022 153.0
GAUGING_STATION_550100 341150 13.08130 47.74204 68.0
GAUGING_STATION_550302 341400 13.08156 47.71652 79.0
GAUGING_STATION_550620 342150 13.07375 47.78594 109.0
GAUGING_STATION_550490 342400 13.07572 47.77458 75.0
GAUGING_STATION_501040 350400 13.07547 47.77746 518.0
GAUGING_STATION_501010 350650 13.07529 47.76587 700.0
GAUGING_STATION_550190 350900 13.07650 47.76022 149.0
GAUGING_STATION_550100 351150 13.08130 47.74204 66.0
GAUGING_STATION_550302 351400 13.08156 47.71652 76.0
GAUGING_STATION_550620 352150 13.07375 47.78594 110.0
GAUGING_STATION_550490 352400 13.07572 47.77458 72.0
GAUGING_STATION_501040 360400 13.07547 47.77746 517.0
GAUGING_STATION_501010 360650 13.07529 47.76587 704.0
GAUGING_STATION_550190 360900 13.07650 47.76022 145.0
GAUGING_STATION_550100 361150 13.08130 47.74204 66.0
GAUGING_STATION_550302 361400 13.08156 47.71652 73.0
GAUGING_STATION_550620 362150 13.07375 47.78594 110.0
GAUGING_STATION_550490 362400 13.07572 47.77458 70.0
GAUGING_STATION_501040 370400 13.07547 47.77746 515.0
GAUGING_STATION_501010 370650 13.07529 47.76587 709.0
GAUGING_STATION_550190 370900 13.07650 47.76022 142.0
GAUGING_STATION_550100 371150 13.08130 47.74204 67.0
GAUGING_STATION_550302 371400 13.08156 47.71652 70.0
GAUGING_STATION_550620 372150 13.07375 47.78594 109.0
