#METADATA SECTION
#Type = Observation
#Mobile = false
#Owner = VIRTUAL
#Phenomenon = [humidity,precipitation,winddirection,temperature,pressure,windspeed]
#Phenomenon_Unit = [%,mm/m²,°,°C,hPa,m/s]
#Sensor_no = 4

#unique_id longitude latitude status
#WEATHER_STATION_71 13.05701 47.75000 true
#WEATHER_STATION_85 13.09503 47.76812 true
#WEATHER_STATION_131 13.11177 47.72368 true
#WEATHER_STATION_132 13.09435 47.78825 true

#unique_id timestamp longitude latitude humidity precipitation winddirection temperature pressure windspeed
WEATHER_STATION_85 3400 13.09503 47.76812 96 9.8 135.0 16.1 1015.6 0.0
WEATHER_STATION_71 4000 13.05701 47.75000 100 2.2 225.0 14.7 1013.6 1.6
WEATHER_STATION_131 4600 13.11177 47.72368 100 18.3 315.0 15.2 1012.4 6.1
WEATHER_STATION_132 5200 13.09435 47.78825 89 22.2 245.0 13.9 1015.4 4.2
WEATHER_STATION_85 13400 13.09503 47.76812 97 10.0 135.0 15.9 1015.6 0.0
WEATHER_STATION_71 14000 13.05701 47.75000 100 2.4 225.0 14.7 1013.4 3.2
WEATHER_STATION_131 14600 13.11177 47.72368 100 18.9 270.0 15.2 1012.2 2.5
WEATHER_STATION_132 15200 13.09435 47.78825 89 22.2 292.5 13.8 1016.1 6.0
WEATHER_STATION_85 23400 13.09503 47.76812 97 10.2 135.0 15.9 1015.8 0.0
WEATHER_STATION_71 24000 13.05701 47.75000 100 2.8 225.0 14.6 1013.2 1.6
WEATHER_STATION_131 24600 13.11177 47.72368 100 19.2 225.0 15.1 1012.6 2.5
WEATHER_STATION_132 25200 13.09435 47.78825 89 23.1 315.0 13.9 1016.1 9.8
WEATHER_STATION_85 33400 13.09503 47.76812 97 10.4 135.0 15.9 1016.3 1.6
WEATHER_STATION_71 34000 13.05701 47.75000 100 2.8 225.0 14.4 1013.2 3.2
WEATHER_STATION_131 34600 13.11177 47.72368 100 19.5 270.0 15.1 1012.7 6.1
WEATHER_STATION_132 35200 13.09435 47.78825 89 23.9 292.5 13.8 1016.1 6.2
WEATHER_STATION_85 43400 13.09503 47.76812 96 10.6 292.5 15.8 1016.1 0.9
WEATHER_STATION_71 44000 13.05701 47.75000 100 3.0 225.0 14.3 1013.4 1.6
WEATHER_STATION_131 44600 13.11177 47.72368 100 19.8 270.0 15.2 1012.6 5.0
WEATHER_STATION_132 45200 13.09435 47.78825 89 23.9 315.0 13.9 1015.8 6.8
WEATHER_STATION_85 53400 13.09503 47.76812 96 10.8 292.5 15.7 1016.2 0.0
WEATHER_STATION_71 54000 13.05701 47.75000 100 3.2 225.0 14.3 1013.4 1.6
WEATHER_STATION_131 54600 13.11177 47.72368 100 20.1 270.0 15.1 1012.5 3.6
WEATHER_STATION_132 55200 13.09435 47.78825 89 25.5 292.5 13.8 1016.1 6.0
WEATHER_STATION_85 63400 13.09503 47.76812 96 11.0 292.5 15.6 1015.7 0.0
WEATHER_STATION_71 64000 13.05701 47.75000 100 3.4 225.0 14.3 1013.2 1.6
WEATHER_STATION_131 64600 13.11177 47.72368 100 20.4 180.0 15.0 1012.6 1.1
WEATHER_STATION_132 65200 13.09435 47.78825 90 25.5 292.5 13.9 1016.2 4.6
WEATHER_STATION_85 73400 13.09503 47.76812 96 11.4 292.5 15.4 1015.6 0.0
WEATHER_STATION_71 74000 13.05701 47.75000 100 3.6 225.0 14.4 1013.2 0.0
WEATHER_STATION_131 74600 13.11177 47.72368 100 21.0 270.0 15.1 1012.5 5.0
WEATHER_STATION_132 75200 13.09435 47.78825 89 27.2 292.5 13.9 1016.5 4.6
WEATHER_STATION_85 83400 13.09503 47.76812 97 11.4 292.5 15.4 1016.0 0.0
WEATHER_STATION_71 84000 13.05701 47.75000 100 3.8 225.0 14.4 1013.2 1.6
WEATHER_STATION_131 84600 13.11177 47.72368 100 21.6 270.0 15.2 1012.6 8.6
WEATHER_STATION_132 85200 13.09435 47.78825 89 28.0 292.5 13.7 1016.2 4.6
WEATHER_STATION_85 93400 13.09503 47.76812 97 11.6 292.5 15.4 1016.0 0.0
WEATHER_STATION_71 94000 13.05701 47.75000 100 4.4 225.0 14.6 1013.2 0.0
WEATHER_STATION_131 94600 13.11177 47.72368 100 21.9 270.0 15.3 1012.7 11.2
WEATHER_STATION_132 95200 13.09435 47.78825 90 29.7 292.5 13.7 1016.3 6.6
WEATHER_STATION_85 103400 13.09503 47.76812 97 12.0 292.5 15.3 1015.8 0.0
WEATHER_STATION_71 104000 13.05701 47.75000 100 4.4 225.0 14.7 1013.2 1.6
WEATHER_STATION_131 104600 13.11177 47.72368 100 22.2 270.0 15.4 1012.7 6.1
WEATHER_STATION_132 105200 13.09435 47.78825 90 30.5 292.5 13.6 1016.1 7.0
WEATHER_STATION_85 113400 13.09503 47.76812 97 12.4 292.5 15.3 1015.7 0.0
WEATHER_STATION_71 114000 13.05701 47.75000 100 4.6 225.0 14.8 1013.2 0.0
WEATHER_STATION_131 114600 13.11177 47.72368 100 23.1 225.0 15.4 1012.4 0.0
WEATHER_STATION_132 115200 13.09435 47.78825 90 31.3 292.5 13.7 1016.3 8.9
WEATHER_STATION_85 123400 13.09503 47.76812 97 12.6 292.5 15.2 1015.8 0.0
WEATHER_STATION_71 124000 13.05701 47.75000 100 4.8 225.0 15.1 1013.2 1.6
WEATHER_STATION_131 124600 13.11177 47.72368 100 23.4 180.0 15.4 1012.5 1.1
WEATHER_STATION_132 125200 13.09435 47.78825 90 32.1 245.0 13.6 1016.4 8.5
WEATHER_STATION_85 133400 13.09503 47.76812 97 13.0 292.5 15.1 1015.9 0.0
WEATHER_STATION_71 134000 13.05701 47.75000 100 5.0 225.0 15.1 1013.1 1.6
WEATHER_STATION_131 134600 13.11177 47.72368 100 24.0 180.0 15.5 1012.5 1.1
WEATHER_STATION_132 135200 13.09435 47.78825 90 32.1 292.5 13.6 1016.3 7.1
WEATHER_STATION_85 143400 13.09503 47.76812 97 13.4 292.5 15.1 1015.8 0.0
WEATHER_STATION_71 144000 13.05701 47.75000 100 5.2 225.0 15.1 1013.2 3.2
WEATHER_STATION_131 144600 13.11177 47.72368 100 24.3 270.0 15.5 1012.5 3.6
WEATHER_STATION_132 145200 13.09435 47.78825 90 33.0 292.5 13.7 1016.2 5.4
WEATHER_STATION_85 153400 13.09503 47.76812 97 13.6 292.5 15.1 1015.8 0.0
WEATHER_STATION_71 154000 13.05701 47.75000 100 6.2 245.0 14.9 1013.5 3.2
WEATHER_STATION_131 154600 13.11177 47.72368 100 24.9 315.0 15.7 1012.5 2.5
WEATHER_STATION_132 155200 13.09435 47.78825 90 33.8 292.5 13.8 1016.1 6.8
WEATHER_STATION_85 163400 13.09503 47.76812 97 14.0 292.5 15.2 1015.8 0.0
WEATHER_STATION_71 164000 13.05701 47.75000 100 6.4 270.0 15.1 1013.8 1.6
WEATHER_STATION_131 164600 13.11177 47.72368 100 25.2 270.0 15.8 1012.6 6.1
WEATHER_STATION_132 165200 13.09435 47.78825 90 33.8 292.5 13.9 1016.4 5.0
WEATHER_STATION_85 173400 13.09503 47.76812 97 14.6 292.5 15.2 1015.7 0.0
WEATHER_STATION_71 174000 13.05701 47.75000 100 6.8 245.0 15.1 1013.9 3.2
WEATHER_STATION_131 174600 13.11177 47.72368 100 25.8 225.0 15.8 1012.9 5.0
WEATHER_STATION_132 175200 13.09435 47.78825 90 34.6 292.5 14.3 1016.2 3.7
WEATHER_STATION_85 183400 13.09503 47.76812 97 15.0 292.5 15.3 1015.6 0.0
WEATHER_STATION_71 184000 13.05701 47.75000 100 8.0 225.0 15.1 1014.3 4.8
WEATHER_STATION_131 184600 13.11177 47.72368 100 26.1 270.0 15.8 1013.0 4.7
WEATHER_STATION_132 185200 13.09435 47.78825 90 34.6 245.0 14.5 1016.4 4.2
WEATHER_STATION_85 193400 13.09503 47.76812 97 15.0 292.5 15.6 1015.7 0.0
WEATHER_STATION_71 194000 13.05701 47.75000 100 8.2 245.0 15.0 1014.4 4.8
WEATHER_STATION_131 194600 13.11177 47.72368 100 27.6 315.0 15.8 1013.4 5.0
WEATHER_STATION_132 195200 13.09435 47.78825 90 34.6 270.0 14.6 1016.5 7.3
WEATHER_STATION_85 203400 13.09503 47.76812 97 15.4 292.5 15.7 1015.6 0.0
WEATHER_STATION_71 204000 13.05701 47.75000 100 8.4 245.0 14.9 1014.5 3.2
WEATHER_STATION_131 204600 13.11177 47.72368 100 28.5 315.0 15.9 1013.4 11.2
WEATHER_STATION_132 205200 13.09435 47.78825 90 35.4 292.5 14.6 1016.6 8.3
WEATHER_STATION_85 213400 13.09503 47.76812 97 15.4 292.5 15.7 1015.6 0.0
WEATHER_STATION_71 214000 13.05701 47.75000 100 8.8 245.0 14.9 1014.4 3.2
WEATHER_STATION_131 214600 13.11177 47.72368 99 29.4 270.0 15.9 1013.6 6.1
WEATHER_STATION_132 215200 13.09435 47.78825 90 35.4 245.0 14.6 1016.9 6.8
WEATHER_STATION_85 223400 13.09503 47.76812 97 15.8 292.5 16.0 1015.7 0.0
WEATHER_STATION_71 224000 13.05701 47.75000 100 8.8 245.0 15.1 1014.5 1.6
WEATHER_STATION_131 224600 13.11177 47.72368 99 30.0 315.0 15.9 1013.9 8.6
WEATHER_STATION_132 225200 13.09435 47.78825 90 36.3 245.0 14.7 1017.2 6.6
WEATHER_STATION_85 233400 13.09503 47.76812 97 16.0 292.5 16.0 1015.8 0.0
WEATHER_STATION_71 234000 13.05701 47.75000 100 8.8 245.0 15.2 1014.5 3.2
WEATHER_STATION_131 234600 13.11177 47.72368 99 30.3 270.0 16.0 1013.9 6.1
WEATHER_STATION_132 235200 13.09435 47.78825 90 37.1 270.0 14.6 1016.9 7.1
WEATHER_STATION_85 243400 13.09503 47.76812 97 22.4 292.5 16.1 1016.2 0.0
WEATHER_STATION_71 244000 13.05701 47.75000 100 8.8 245.0 15.3 1014.8 6.4
WEATHER_STATION_131 244600 13.11177 47.72368 99 30.6 315.0 16.3 1013.8 5.0
WEATHER_STATION_132 245200 13.09435 47.78825 90 37.1 270.0 14.7 1017.2 6.8
WEATHER_STATION_85 253400 13.09503 47.76812 97 24.6 0.0 15.9 1016.4 1.5
WEATHER_STATION_71 254000 13.05701 47.75000 100 8.8 245.0 15.6 1014.8 1.6
WEATHER_STATION_131 254600 13.11177 47.72368 98 30.9 315.0 16.7 1013.7 7.2
WEATHER_STATION_132 255200 13.09435 47.78825 90 37.9 245.0 14.9 1017.6 5.2
WEATHER_STATION_85 263400 13.09503 47.76812 97 25.6 202.5 15.9 1016.8 1.1
WEATHER_STATION_71 264000 13.05701 47.75000 100 8.8 245.0 15.8 1014.9 3.2
WEATHER_STATION_131 264600 13.11177 47.72368 98 30.9 293.0 17.0 1014.0 9.7
